DATE,PPIF,PPID,PPIMPF,PPIS,URATE,CBPR,CCI,CSI,DECSP
9/1/2012,212.5,16.8,182.2,217.6,7.60%,0.13%,99.03902,78.3,56
10/1/2012,212.7,17.5,180.9,216.3,7.50%,0.13%,99.2669,82.6,62.700001
11/1/2012,214.7,18.4,183.5,214.3,7.40%,0.13%,99.18011,82.7,63.049999
12/1/2012,213.6,19,181.7,214,7.60%,0.13%,98.84458,72.9,67
1/1/2013,212.6,19.4,181.1,211.2,8.50%,0.13%,98.71558,73.8,73.260002
2/1/2013,209.3,19.5,181.4,212.5,8.10%,0.13%,98.81905,77.6,69.889999
3/1/2013,207.6,19.8,181.7,214.6,7.60%,0.13%,98.98666,78.6,68.790001
4/1/2013,207.7,19.8,180.6,217,7.10%,0.13%,99.19981,76.4,71.239998
5/1/2013,211.6,19.8,184.1,216.1,7.30%,0.13%,99.53979,84.5,72.389999
6/1/2013,212.1,19.8,186.4,216.3,7.80%,0.13%,99.71557,84.1,68.870003
7/1/2013,210.1,19.7,186.3,215,7.70%,0.13%,99.67769,85.1,69.669998
8/1/2013,206.9,19.1,186.2,215.4,7.30%,0.13%,99.39543,82.1,66.269997
9/1/2013,206.3,19,185.8,221.2,7.00%,0.13%,99.01244,77.5,69
10/1/2013,209.6,19,185.3,220.2,7.00%,0.13%,98.77566,73.2,82.07
11/1/2013,207.2,19,185.2,222.2,6.60%,0.13%,98.87665,75.1,84.129997
12/1/2013,206.4,19,184.3,222,6.50%,0.13%,99.18191,82.5,83.550003
1/1/2014,208.5,19.4,186.9,222.3,7.00%,0.13%,99.35567,81.2,77.809998
2/1/2014,209.1,19.3,186.3,223.4,7.00%,0.13%,99.42612,81.6,83.75
3/1/2014,213.8,19.3,194.2,221.8,6.80%,0.13%,99.45854,80,78.07
4/1/2014,211.5,19.3,206.7,222.1,5.90%,0.13%,99.53195,84.1,75.809998
5/1/2014,213.8,19.3,206,222.5,6.10%,0.13%,99.51826,81.9,79.389999
6/1/2014,209.6,19.2,209.5,221.4,6.30%,0.13%,99.49171,82.5,79.489998
7/1/2014,209.6,19.2,217.8,220.3,6.50%,0.13%,99.48347,81.8,81.050003
8/1/2014,206.4,19.2,216.7,222.4,6.30%,0.13%,99.5789,82.5,83.199997
9/1/2014,212.2,19.2,212.9,222.6,5.70%,0.13%,99.78435,84.6,81.589996
10/1/2014,209.3,19.3,216,223.8,5.50%,0.13%,100.0732,86.9,88.959999
11/1/2014,209.8,19.3,211.3,224.4,5.50%,0.13%,100.4276,88.8,99.330002
12/1/2014,212,19.3,208.3,226.7,5.40%,0.13%,100.8206,93.6,103.639999
1/1/2015,204,19.3,208.3,227.7,6.10%,0.13%,101.0853,98.1,106.75
2/1/2015,204.6,19.3,202,228.6,5.80%,0.13%,101.0876,95.4,108.529999
3/1/2015,204.6,19.3,198.9,229.7,5.60%,0.13%,100.9909,93,107.010002
4/1/2015,202.6,19.3,200.2,229.5,5.10%,0.13%,100.9361,95.9,96.43
5/1/2015,203.3,19.3,206,231.6,5.30%,0.13%,100.8555,90.7,97.599998
6/1/2015,202.7,19.3,204.7,228.2,5.50%,0.13%,100.8697,96.1,99.089996
7/1/2015,202.1,19.3,200,232,5.60%,0.13%,100.7547,93.1,104.010002
8/1/2015,193.7,19.3,199.4,230.8,5.20%,0.13%,100.5649,91.9,95.5
9/1/2015,191.7,19.3,195.6,230.6,4.90%,0.13%,100.3939,87.2,91.660004
10/1/2015,193.5,19.3,191,230.1,4.80%,0.13%,100.4231,90,83.449997
11/1/2015,192.8,19.2,186.6,229.1,4.80%,0.13%,100.5399,91.3,84.839996
12/1/2015,195.2,19.3,180.7,229.6,4.80%,0.38%,100.6371,92.6,84.669998
1/1/2016,194.1,19.7,180.7,231.5,5.30%,0.38%,100.6502,92,84.919998
2/1/2016,193.2,19.8,184.7,230.3,5.20%,0.38%,100.6128,91.7,91.470001
3/1/2016,193.7,20,184.2,223.9,5.10%,0.38%,100.5729,91,93.43
4/1/2016,193.6,20.2,186.9,221.4,4.70%,0.38%,100.595,89,86
5/1/2016,194.4,20.3,188.6,222.1,4.50%,0.38%,100.7176,94.7,84.059998
6/1/2016,194.3,20.3,191.2,223.4,5.10%,0.38%,100.6956,93.5,84.779999
7/1/2016,190.3,20.4,188.5,223.6,5.10%,0.38%,100.5487,90,81.370003
8/1/2016,189.1,22.2,183.5,223.8,5.00%,0.38%,100.4425,89.8,77.989998
9/1/2016,189,27.4,184.4,227.7,4.80%,0.38%,100.423,91.2,79.190002
10/1/2016,190.9,28.2,181.2,230.2,4.70%,0.38%,100.4991,87.2,79.099998
